GPC_ID   | MEDIA   | DUDOSOS  | TOTAL    | % ERROR | CATEGORIA
2251     | 0.934   | 35       | 2285     |    1.5% | Bricolaje  >  Accesorios de bricolaje  >  Artículos de ferretería  >  Tornillos
520      | 0.924   | 33       | 5162     |    0.6% | Salud y belleza  >  Cuidado de la salud  >  Movilidad y accesibilidad  >  Equipo de accesibilidad
226      | 0.770   | 32       | 202      |   15.8% | Electrónica  >  Audio  >  Reproducción y grabación de sonido  >  Reproductores y grabadoras de CD
1180     | 0.925   | 32       | 785      |    4.1% | Bricolaje  >  Herramientas  >  Cortadores
3017     | 0.900   | 31       | 605      |    5.1% | Casa y jardín  >  Piscina y spa  >  Accesorios para piscinas y jacuzzis  >  Limpieza y desinfección de piscinas
1226     | 0.890   | 31       | 1001     |    3.1% | Casa y jardín  >  Jardín  >  Maquinaria de jardinería  >  Limpiadoras a presión
639      | 0.929   | 30       | 5674     |    0.5% | Casa y jardín  >  Cocina y comedor  >  Herramientas y utensilios de cocina  >  Delantales
4700     | 0.918   | 30       | 1414     |    2.1% | Bricolaje  >  Accesorios de bricolaje  >  Ferretería para armarios  >  Pomos y picaportes de armarios
5788     | 0.920   | 30       | 3596     |    0.8% | Alimentación, bebida y tabaco  >  Alimentos  >  Chucherías y postres helados
4171     | 0.926   | 29       | 3116     |    0.9% | Casa y jardín  >  Ropa de casa
4468     | 0.947   | 29       | 1436     |    2.0% | Bricolaje  >  Materiales de construcción  >  Puertas  >  Puertas de garaje
2413     | 0.809   | 28       | 212      |   13.2% | Bricolaje  >  Suministros eléctricos  >  Kits de automatización doméstica
984      | 0.942   | 27       | 3673     |    0.7% | Casa y jardín  >  Plantas  >  Flores
913      | 0.922   | 26       | 2063     |    1.3% | Vehículos y recambios  >  Piezas y accesorios para vehículos  >  Mantenimiento, cuidado y decoración de vehículos
5863     | 0.833   | 26       | 183      |   14.2% | Economía e industria  >  Publicidad y márketing
1356     | 0.918   | 26       | 2005     |    1.3% | Bricolaje  >  Materiales de construcción  >  Artículos para puertas  >  Picaportes y manijas para puertas
505302   | 0.869   | 25       | 250      |   10.0% | Equipamiento deportivo  >  Fitness y musculación  >  Reflectores y luces de seguridad deportivos
3684     | 0.922   | 25       | 1878     |    1.3% | Casa y jardín  >  Cocina y comedor  >  Accesorios para aparatos de cocina  >  Accesorios para barbacoas
491      | 0.927   | 24       | 4096     |    0.6% | Salud y belleza  >  Cuidado de la salud
401      | 0.905   | 24       | 1112     |    2.2% | Electrónica  >  Vídeo  >  Televisión por cable y satélite  >  Receptores satélite
2485     | 0.910   | 24       | 759      |    3.2% | Bricolaje  >  Accesorios de bricolaje  >  Organización y almacenamiento de herramientas  >  Cinturones de trabajo y de herramientas
193      | 0.834   | 23       | 161      |   14.3% | Ropa y accesorios  >  Complementos  >  Gemelos
597      | 0.883   | 23       | 448      |    5.1% | Casa y jardín  >  Decoración  >  Marcos para fotos
1239     | 0.930   | 22       | 2053     |    1.1% | Juegos y juguetes
638      | 0.905   | 22       | 1056     |    2.1% | Casa y jardín  >  Cocina y comedor
499772   | 0.923   | 22       | 1891     |    1.2% | Bricolaje  >  Materiales de construcción  >  Herrajes para ventanas
