GPC_ID   | MEDIA   | DUDOSOS  | TOTAL    | % ERROR | CATEGORIA
500102   | 0.870   | 1        | 20       |    5.0% | Bricolaje  >  Bombas  >  Bombas para lodos, aguas residuales y efluentes
3281     | 0.933   | 1        | 74       |    1.4% | Bricolaje  >  Accesorios para herramientas  >  Accesorios para soldador
503770   | 0.904   | 1        | 38       |    2.6% | Bricolaje  >  Accesorios de bricolaje  >  Ganchos, hebillas y cierres  >  Ganchos de grúa, abrazaderas y grilletes
503773   | 0.928   | 1        | 58       |    1.7% | Bricolaje  >  Accesorios de bricolaje  >  Ganchos, hebillas y cierres
5253     | 0.734   | 1        | 5        |   20.0% | Bebés y niños pequeños  >  Salud del bebé  >  Aspiradores nasales
5252     | 0.920   | 1        | 144      |    0.7% | Bebés y niños pequeños  >  Salud del bebé
6899     | 0.939   | 1        | 536      |    0.2% | Bebés y niños pequeños  >  Sacos y mantas para bebés
2949     | 0.899   | 1        | 28       |    3.6% | Bebés y niños pequeños  >  Pañales y cuidado del bebé  >  Tratamientos para la dermatitis
548      | 0.908   | 1        | 30       |    3.3% | Bebés y niños pequeños  >  Pañales y cuidado del bebé
562      | 0.931   | 1        | 196      |    0.5% | Bebés y niños pequeños  >  Lactancia y alimentación  >  Comida para bebés y niños
7360     | 0.942   | 1        | 130      |    0.8% | Bebés y niños pequeños  >  Juguetes y actividades para bebés  >  Mordedores para bebés
7198     | 0.926   | 1        | 288      |    0.3% | Bebés y niños pequeños  >  Juguetes y actividades para bebés  >  Juguetes de actividades para bebés
1243     | 0.910   | 1        | 67       |    1.5% | Bebés y niños pequeños  >  Juguetes y actividades para bebés  >  Alfombras de actividades y gimnasios
8537     | 0.950   | 1        | 1013     |    0.1% | Bebés y niños pequeños  >  Accesorios para el transporte de bebés  >  Mantas y sacos para el transporte de bebés
4730     | 0.927   | 1        | 283      |    0.4% | Arte y ocio  >  Fiestas y celebraciones  >  Productos para fiestas  >  Velas de cumpleaños
1868     | 0.941   | 1        | 160      |    0.6% | Alimentación, bebida y tabaco  >  Bebidas  >  Café
2194     | 0.941   | 1        | 1417     |    0.1% | Alimentación, bebida y tabaco  >  Alimentos  >  Panadería  >  Barras de postres y pasteles
4748     | 0.947   | 1        | 927      |    0.1% | Alimentación, bebida y tabaco  >  Alimentos  >  Bombones y chocolatinas
